Individual_Obj_PK;id1@Thes_Status_Precision;id5@TCarac_Transmitter_Frequency;id9@TCarac_Release_Ring_Code;id12@TCarac_Breeding_Ring_Code;id13@TCarac_Chip_Code
4;dead;217757;;U05M01101;00068AFA3E
15;mazal;218246;;U06M01743;000695C9B5
17;dead;218899;W-00329;;
40;dead;219277;CPF-00018;U00M00254;
41;mazal;218997;CPM-00060;U02M00308;
46;dead;217908;CPF-00065;U02M00023;
52;mazal;218882;CPM-00703;U07M04068;
57;dead;218192;MA-1533999;U05M00699;
69;dead;219279;W-00161;;
80;mazal;216146;MA-1532556;U05M00220;
85;mazal;218767;W-00318;;
86;dead;219308;;U05M02045;00068B0A1E
89;mazal;218093;MA-1657957;U05M00472;
144;mazal;218075;W-00150;;
148;mazal;217664;;U06M02414;0006966FC0
153;lost;216316;CPM-00870;U08M00539;
168;dead;219271;CPF-00120;U03M00312;
169;mazal;218045;MA-1288694;U04M02001;
175;mazal;215460;;U06M02762;0006969B06
181;mazal;217018;CPM-00737;U07M06949;
199;mazal;215549;;U06M02160;0006966EAF
214;mazal;218418;CPF-00479;U07M04737;
217;dead;218421;W-00036;;
221;mazal;217881;;U05M01941;00068B4A7A
226;mazal;215298;CPM-00557;U07M03672;
237;dead;219052;CPF-00198;U04M00204;
244;monitored;217055;CPF-01126;U08M00275;
261;dead;219194;39;U99M00134;
268;dead;215133;;U06M03518;00068B90DC
271;mazal;217641;CPF-00122;U03M00319;
278;dead;215268;CPF-00496;U07M02728;
286;dead;216649;CPM-00560;U07M03085;
300;dead;218861;MA-1720127;U04M01316;
304;mazal;216214;CPF-00086;U02M00836;
305;mazal;216855;CPM-00125;U02M00501;
334;mazal;219429;CPM-00071;U02M00327;
345;dead;219489;CPF-00139;U03M00277;
360;mazal;219574;CPM-00637;U07M08329;
361;dead;217666;CPM-00075;U02M00144;
369;dead;215028;;U07M05463;0006B87E71
406;mazal;217547;;U06M01741;0006967628
409;dead;217710;;U07M03723;0006B8969B
413;dead;214571;CPM-00550;U07M03391;
426;mazal;216414;CPM-00777;U07M06936;
430;dead;216043;CPF-00483;U07M03255;
455;mazal;215800;;U06M03413;0006966E2B
456;dead;216537;CPM-00028;U01M00267;
472;mazal;219819;W-00310;;
473;mazal;218053;;U05M01125;00068B6A35
489;dead;219073;CPF-00715;U08M04653;
495;lost;219950;CPF-01167;U08M00634;
506;mazal;218423;;U06M01631;0006969BD7
507;dead;217577;CPM-00406;U04M00221;
535;dead;218897;;U05M02142;00068B7861
574;dead;217359;W-00292;;
583;dead;216595;;U06M02272;00068B1BAC
615;dead;219800;;U08M02626;0006C9E4F7
624;finish;216067;CPM-00736;U07M06933;
631;finish;215053;;U06M03561;00068B29FF
640;dead;216874;CPM-00718;U07M06922;
643;dead;216495;CPM-00138;U02M00432;
649;finish;216027;;U06M02379;000696974E
657;dead;218452;W-00027;;
662;dead;217028;CPM-00567;U07M02797;
665;finish;219037;;U05M01544;00068B27C6
680;finish;214889;;U06M03356;0006969191
697;finish;218912;CPM-00087;U02M00167;
705;dead;216254;CPM-00714;U07M06886;
708;finish;217230;CPF-00031;U01M00316;
709;finish;219410;CPF-00056;U02M00066;
714;finish;218521;W-00035;;
729;finish;214540;;U06M03152;00069678FF
734;dead;218750;27r;U97M00154;
738;dead;217757;CPM-00943;U08M00402;
739;lost;216138;W-00099;;
746;dead;217246;;U05M00768;00068B4B04
754;dead;216443;CPM-00169;U02M00816;
755;dead;218384;MA-1695896;U05M00697;
760;lost;216332;W-00344;;
762;dead;218285;CPF-00052;U02M00341;
769;finish;215292;CPF-00480;U07M04740;
773;monitored;217277;CPM-00886;U08M00594;
783;dead;218432;W-00111;;
784;finish;216765;;U06M02479;000696A431
785;finish;217791;;U06M01598;00069688B8
814;dead;217416;W-00255;;
822;finish;218400;XXX10;;
843;dead;215160;;U06M03262;000696991F
845;finish;219707;CPM-00008;U00M00276;
