ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
59;65346788;2;001.028.001;Cormophyta;Cormophyta;Cormophyta;Cormophyta;NULL;0;1
60;65346788;59;001.028.001.001;Acanthaceae;Acanthaceae;Acanthaceae;Acanthaceae;NULL;0;1
61;65346788;60;001.028.001.001.001;Acanthus L.;Acanthus L.;Acanthus L.;Acanthus L.;NULL;0;1
62;65346788;61;001.028.001.001.001.001;Acanthus mollis L.;Acanthus mollis L.;Acanthus mollis L.;Acanthus mollis L.;NULL;0;1
63;65346788;62;001.028.001.001.001.001.001;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;NULL;0;1
64;65346788;62;001.028.001.001.001.001.002;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;NULL;0;1
65;65346788;61;001.028.001.001.001.002;Acanthus spinosus L.;Acanthus spinosus L.;Acanthus spinosus L.;Acanthus spinosus L.;NULL;0;1
66;65346788;60;001.028.001.001.002;Asystasia Blume;Asystasia Blume;Asystasia Blume;Asystasia Blume;NULL;0;1
67;65346788;66;001.028.001.001.002.001;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;NULL;0;1
68;65346788;60;001.028.001.001.003;Barleria L.;Barleria L.;Barleria L.;Barleria L.;NULL;0;1
69;65346788;68;001.028.001.001.003.001;Barleria acanthoides Vahl;Barleria acanthoides Vahl;Barleria acanthoides Vahl;Barleria acanthoides Vahl;NULL;0;1
70;65346788;68;001.028.001.001.003.002;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;NULL;0;1
71;65346788;68;001.028.001.001.003.003;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;NULL;0;1
72;65346788;68;001.028.001.001.003.004;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;NULL;0;1
73;65346788;72;001.028.001.001.003.004.001;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;NULL;0;1
74;65346788;68;001.028.001.001.003.005;Barleria schmittii Benoist;Barleria schmittii Benoist;Barleria schmittii Benoist;Barleria schmittii Benoist;NULL;0;1
75;65346788;60;001.028.001.001.004;Blepharis Juss.;Blepharis Juss.;Blepharis Juss.;Blepharis Juss.;NULL;0;1
76;65346788;75;001.028.001.001.004.001;Blepharis attenuata Napper;Blepharis attenuata Napper;Blepharis attenuata Napper;Blepharis attenuata Napper;NULL;0;1
77;65346788;75;001.028.001.001.004.002;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;NULL;0;1
78;65346788;75;001.028.001.001.004.003;Blepharis edulis Pers.;Blepharis edulis Pers.;Blepharis edulis Pers.;Blepharis edulis Pers.;NULL;0;1
79;65346788;75;001.028.001.001.004.004;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;NULL;0;1
80;65346788;75;001.028.001.001.004.005;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;NULL;0;1
